areaType,areaName,areaCode,date,covidOccupiedMVBeds
overview,United Kingdom,K02000001,2020-05-31,679
overview,United Kingdom,K02000001,2020-05-30,704
overview,United Kingdom,K02000001,2020-05-29,719
overview,United Kingdom,K02000001,2020-05-28,751
overview,United Kingdom,K02000001,2020-05-27,783
overview,United Kingdom,K02000001,2020-05-26,847
overview,United Kingdom,K02000001,2020-05-25,863
overview,United Kingdom,K02000001,2020-05-24,886
overview,United Kingdom,K02000001,2020-05-23,926
overview,United Kingdom,K02000001,2020-05-22,964
overview,United Kingdom,K02000001,2020-05-21,1008
overview,United Kingdom,K02000001,2020-05-20,1034
overview,United Kingdom,K02000001,2020-05-19,1106
overview,United Kingdom,K02000001,2020-05-18,1141
overview,United Kingdom,K02000001,2020-05-17,1196
overview,United Kingdom,K02000001,2020-05-16,1234
overview,United Kingdom,K02000001,2020-05-15,1302
overview,United Kingdom,K02000001,2020-05-14,1314
overview,United Kingdom,K02000001,2020-05-13,1342
overview,United Kingdom,K02000001,2020-05-12,1414
overview,United Kingdom,K02000001,2020-05-11,1485
overview,United Kingdom,K02000001,2020-05-10,1538
overview,United Kingdom,K02000001,2020-05-09,1585
overview,United Kingdom,K02000001,2020-05-08,1641
overview,United Kingdom,K02000001,2020-05-07,1685
overview,United Kingdom,K02000001,2020-05-06,1802
overview,United Kingdom,K02000001,2020-05-05,1874
overview,United Kingdom,K02000001,2020-05-04,1936
overview,United Kingdom,K02000001,2020-05-03,2009
overview,United Kingdom,K02000001,2020-05-02,2068
overview,United Kingdom,K02000001,2020-05-01,2178
overview,United Kingdom,K02000001,2020-04-30,2224
overview,United Kingdom,K02000001,2020-04-29,2286
overview,United Kingdom,K02000001,2020-04-28,2347
overview,United Kingdom,K02000001,2020-04-27,2454
overview,United Kingdom,K02000001,2020-04-26,2580
overview,United Kingdom,K02000001,2020-04-25,2702
overview,United Kingdom,K02000001,2020-04-24,2703
overview,United Kingdom,K02000001,2020-04-23,2867
overview,United Kingdom,K02000001,2020-04-22,2964
overview,United Kingdom,K02000001,2020-04-21,3036
overview,United Kingdom,K02000001,2020-04-20,3130
overview,United Kingdom,K02000001,2020-04-19,3176
overview,United Kingdom,K02000001,2020-04-18,3247
overview,United Kingdom,K02000001,2020-04-17,3162
overview,United Kingdom,K02000001,2020-04-16,3222
overview,United Kingdom,K02000001,2020-04-15,3228
overview,United Kingdom,K02000001,2020-04-14,3234
overview,United Kingdom,K02000001,2020-04-13,3277
overview,United Kingdom,K02000001,2020-04-12,3301
overview,United Kingdom,K02000001,2020-04-11,3274
overview,United Kingdom,K02000001,2020-04-10,3228
overview,United Kingdom,K02000001,2020-04-09,2963
overview,United Kingdom,K02000001,2020-04-08,2967
overview,United Kingdom,K02000001,2020-04-07,2864
overview,United Kingdom,K02000001,2020-04-06,2644
overview,United Kingdom,K02000001,2020-04-05,2469
overview,United Kingdom,K02000001,2020-04-04,2309
overview,United Kingdom,K02000001,2020-04-03,2120
overview,United Kingdom,K02000001,2020-04-02,1813
